vessel_id,t,lon,lat,heading,course,speed
1822,1677267994467,25.94182777404785,37.38956069946289,336,336,13
1822,1677268084541,25.93898582458496,37.3946533203125,335,335,13
1812,1677268161075,25.82083320617676,37.787384033203125,355,355,12
1822,1677268213848,25.934946060180664,37.40201950073242,336,336,13
1852,1677268275462,25.760299682617188,38.25786590576172,179,179,11
1812,1677268311097,25.81965065002441,37.79610061645508,353,353,12
1812,1677268371220,25.819250106811523,37.799598693847656,354,354,12
1832,1677268389259,26.1108341217041,37.12833404541016,332,332,9
1792,1677268392824,24.23261451721192,36.66193771362305,328,328,16
1792,1677268487758,24.22862243652344,36.66835403442383,333,333,16
1822,1677268535117,25.92484474182129,37.42034530639648,336,336,13
1832,1677268558768,26.10650062561035,37.1349983215332,332,332,9
1812,1677268561611,25.817983627319336,37.81039810180664,354,354,12
1812,1677268701392,25.8171329498291,37.81843185424805,355,355,12
1822,1677268714192,25.91921043395996,37.43046951293945,336,336,13
1812,1677268921379,25.816499710083008,37.83110046386719,357,357,12
1822,1677268934768,25.912351608276367,37.44297409057617,336,336,13
1821,1677268955220,25.87183380126953,37.410831451416016,303,303,11
1792,1677268961733,24.2097282409668,36.70035171508789,334,334,16
1852,1677268965305,25.761249542236328,38.22019958496094,178,178,11
1832,1677268978848,26.09650039672852,37.1510009765625,333,333,9
1792,1677269021737,24.2073974609375,36.70430755615234,334,334,15
1822,1677269104771,25.906946182250977,37.452613830566406,335,335,13
1822,1677269234771,25.90277862548828,37.45989990234375,335,335,13
1852,1677269285095,25.76194953918457,38.20298385620117,178,178,11
1822,1677269384636,25.89797019958496,37.46826171875,335,335,13
1852,1677269384735,25.762184143066406,38.197601318359375,178,178,11
1822,1677269634826,25.889842987060547,37.48237228393555,335,335,13
1832,1677269639915,26.08049964904785,37.17683410644531,333,333,9
1832,1677269699921,26.07900047302246,37.17916488647461,332,332,9
1852,1677269726298,25.762983322143555,38.17923355102539,178,178,11
1792,1677269849629,24.17908096313477,36.75992584228516,337,337,15
1792,1677269922211,24.176794052124023,36.76481246948242,339,339,15
1852,1677269986151,25.763715744018555,38.16526794433594,177,177,11
1821,1677269996060,25.81183242797852,37.44049835205078,301,301,11
1832,1677270088634,26.06999969482422,37.19400024414063,334,334,9
1821,1677270100338,25.805334091186523,37.442832946777344,294,294,11
1832,1677270169299,26.06816673278809,37.19716644287109,335,335,9
1832,1677270269262,26.06583404541016,37.20100021362305,334,334,9
1821,1677270296193,25.79800033569336,37.45033264160156,322,322,10
1852,1677270314879,25.76474952697754,38.14765167236328,177,177,11
1792,1677270354432,24.16284942626953,36.79362106323242,338,338,15
1832,1677270359910,26.06366729736328,37.20466613769531,334,334,9
1821,1677270416848,25.795000076293945,37.455833435058594,336,336,10
1821,1677270476854,25.793500900268555,37.45849990844727,335,335,10
1852,1677270515687,25.76538276672364,38.13683319091797,177,177,11
1832,1677270668714,26.05666732788086,37.216835021972656,335,335,9
1822,1677270674482,25.87731170654297,37.54484939575195,350,350,13
1852,1677270684765,25.76591682434082,38.12779998779297,177,177,11
1822,1677270754038,25.87648582458496,37.54960250854492,352,352,13
1832,1677270759076,26.05466651916504,37.22016525268555,334,334,8
1792,1677270809675,24.148408889770508,36.82413864135742,339,339,15
1852,1677270825905,25.76634979248047,38.1202507019043,177,177,11
1832,1677270858993,26.052165985107425,37.22383499145508,331,331,9
1792,1677270917894,24.14508056640625,36.83141708374024,339,339,15
1852,1677270956231,25.76675033569336,38.11328506469727,177,177,11
1832,1677270978991,26.04933357238769,37.22816848754883,332,332,8
1792,1677271050380,24.140926361083984,36.8402099609375,339,339,15
1832,1677271079893,26.04683303833008,37.231666564941406,330,330,8
1832,1677271239723,26.04316711425781,37.23749923706055,333,333,8
1832,1677271329353,26.041000366210938,37.240665435791016,331,331,8
1792,1677271337573,24.131980895996094,36.85909271240234,339,339,15
1852,1677271345085,25.767650604248047,38.092315673828125,178,178,11
1792,1677271410114,24.129728317260746,36.8638801574707,339,339,15
1832,1677271418658,26.038833618164062,37.24399948120117,332,332,9
1832,1677271569378,26.035165786743164,37.24933242797852,331,331,8
1852,1677271585114,25.76776695251465,38.079498291015625,179,179,11
1822,1677271614881,25.86713409423828,37.600711822509766,351,351,12
1792,1677271625689,24.1230583190918,36.87795639038086,339,339,15
1832,1677271629386,26.033832550048828,37.25149917602539,333,333,8
1832,1677271749387,26.030834197998047,37.25583267211914,331,331,8
1822,1677271765011,25.86551094055176,37.60963439941406,351,351,12
1852,1677271796603,25.76824951171875,38.06813430786133,178,178,11
1852,1677271875536,25.768783569335938,38.06393432617188,174,174,11
1832,1677271929394,26.026500701904297,37.26250076293945,332,332,9
1792,1677271968054,24.112791061401367,36.90030670166016,339,339,15
1831,1677272005839,26.11883354187012,37.29800033569336,293,293,11
1852,1677272006616,25.769466400146484,38.05696487426758,175,175,11
1822,1677272063529,25.86229705810547,37.62744522094727,351,351,13
1792,1677272082239,24.10928726196289,36.907806396484375,339,339,15
1832,1677272090173,26.022499084472656,37.268333435058594,331,331,8
1852,1677272115554,25.770183563232425,38.05113220214844,174,174,11
1831,1677272125836,26.1113338470459,37.30066680908203,293,293,11
1822,1677272154876,25.861549377441406,37.632938385009766,353,353,13
1792,1677272177623,24.10638999938965,36.91408157348633,339,339,15
1832,1677272210178,26.019332885742188,37.27283477783203,330,330,9
1831,1677272246710,26.10383415222168,37.3033332824707,293,293,11
1852,1677272256636,25.77140045166016,38.04371643066406,172,172,11
1831,1677272321966,26.099166870117188,37.30500030517578,294,294,11
1852,1677272325931,25.771949768066406,38.040000915527344,173,173,11
1822,1677272355371,25.85975646972656,37.64497375488281,353,353,13
1832,1677272499353,26.01233291625977,37.28300094604492,331,331,8
1822,1677272504431,25.858436584472656,37.653934478759766,353,353,13
1852,1677272535450,25.773700714111328,38.02885055541992,172,172,11
1831,1677272546711,26.084999084472656,37.310001373291016,293,293,11
1832,1677272578868,26.01033401489257,37.285831451416016,330,330,8
1792,1677272580405,24.09418487548828,36.94035339355469,339,339,15
1852,1677272648213,25.77458381652832,38.02288436889648,173,173,11
1822,1677272653871,25.85707092285156,37.66291427612305,353,353,13
1831,1677272680815,26.076499938964844,37.3129997253418,293,293,11
1852,1677272756336,25.77543258666992,38.01691818237305,173,173,11
1852,1677272826492,25.77596664428711,38.013282775878906,173,173,11
1832,1677272830140,26.00416755676269,37.29483413696289,331,331,8
1832,1677272909036,26.002166748046875,37.29766845703125,330,330,8
1822,1677272974539,25.853981018066406,37.68232727050781,352,352,13
1832,1677273010131,25.99966621398925,37.30133438110352,331,331,8
1852,1677273084895,25.7780990600586,37.99924850463867,173,173,11
1822,1677273124962,25.852415084838867,37.69141006469727,352,352,13
1832,1677273308768,25.991832733154297,37.31216812133789,329,329,9
1852,1677273324710,25.77989959716797,37.98628234863281,173,173,11
1832,1677273428768,25.988832473754883,37.31666564941406,331,331,9
1852,1677273454847,25.78081703186035,37.97919845581055,174,174,11
1832,1677273488780,25.98733329772949,37.31900024414063,332,332,9
1792,1677273504081,24.0618896484375,36.99956130981445,336,336,15
1831,1677273571995,26.020166397094727,37.33433151245117,295,295,12
1852,1677273606589,25.78179931640625,37.971099853515625,174,174,11
1832,1677273889374,25.977500915527344,37.33399963378906,332,332,9
1832,1677273949378,25.97616577148437,37.33616638183594,333,333,8
1831,1677273961780,25.99683380126953,37.34483337402344,299,299,11
1832,1677274028797,25.97450065612793,37.339332580566406,337,337,9
1852,1677274046318,25.784767150878903,37.94755172729492,174,174,11
1831,1677274050766,25.99166679382324,37.34749984741211,302,302,11
1792,1677274068317,24.03170585632324,37.03105163574219,322,322,15
1831,1677274125385,25.98733329772949,37.34966659545898,302,302,11
1832,1677274129379,25.97233390808105,37.34316635131836,335,335,9
1792,1677274224472,24.02207946777344,37.03885269165039,315,315,15
1822,1677274243582,25.84017944335937,37.759159088134766,351,351,13
1832,1677274369778,25.96699905395508,37.352664947509766,335,335,9
1792,1677274380225,24.01296806335449,37.04694747924805,317,317,15
1852,1677274435156,25.78734970092773,37.92689895629883,174,174,11
1832,1677274528561,25.96333312988281,37.358665466308594,334,334,9
1791,1677274598975,23.80813407897949,37.13663864135742,33,33,9
1852,1677274625213,25.788299560546875,37.91685104370117,175,175,11
1832,1677274659858,25.9603328704834,37.36383438110352,335,335,9
1792,1677274662448,23.999610900878903,37.06319808959961,326,326,14
1791,1677274728130,23.8121337890625,37.14156723022461,33,33,9
1792,1677274782488,23.99462509155273,37.07048034667969,331,331,14
1832,1677274848431,25.9558334350586,37.37099838256836,333,333,9
1791,1677274859650,23.816238403320312,37.14662170410156,33,33,9
1831,1677274921255,25.94099998474121,37.37366485595703,302,302,11
1832,1677275018973,25.951833724975582,37.37766647338867,334,334,9
1792,1677275022459,23.98482322692871,37.085208892822266,331,331,15
1832,1677275078984,25.95050048828125,37.37983322143555,333,333,8
1852,1677275184815,25.790884017944336,37.88740158081055,176,176,11
1791,1677275208840,23.82695198059082,37.15975570678711,33,33,9
1832,1677275210187,25.94750022888184,37.3849983215332,335,335,9
1792,1677275244235,23.977434158325195,37.09947967529297,337,337,15
1792,1677275339530,23.974449157714844,37.10565948486328,338,338,15
1832,1677275360105,25.944000244140625,37.39083480834961,334,334,9
1822,1677275364961,25.832210540771484,37.826778411865234,354,354,13
1791,1677275388371,23.83251571655273,37.1664924621582,33,33,9
1832,1677275449207,25.941999435424805,37.3941650390625,334,334,8
1822,1677275474790,25.83192253112793,37.83339309692383,358,358,13
1832,1677275539882,25.93983268737793,37.39766693115234,333,333,9
1792,1677275591529,23.966815948486328,37.12223434448242,339,339,15
1852,1677275705649,25.79335021972656,37.860633850097656,175,175,11
1792,1677275711530,23.96313667297364,37.13014602661133,339,339,15
1792,1677275813579,23.96001243591309,37.13680648803711,339,339,15
1822,1677275864776,25.831666946411133,37.85686492919922,359,359,12
1832,1677275899427,25.93133354187012,37.41216659545898,334,334,9
1832,1677275989936,25.92916679382324,37.41583251953125,334,334,9
1792,1677276066170,23.952272415161133,37.15330123901367,339,339,15
1832,1677276070209,25.927165985107425,37.41899871826172,333,333,9
1852,1677276095715,25.7947006225586,37.84073257446289,176,176,11
1791,1677276119798,23.853837966918945,37.19400024414063,31,31,9
1831,1677276155220,25.87183380126953,37.410831451416016,303,303,11
1852,1677276164761,25.794965744018555,37.837215423583984,176,176,11
1852,1677276245744,25.795284271240234,37.8331184387207,176,176,10
1832,1677276259809,25.922666549682617,37.42649841308594,334,334,9
1791,1677276367994,23.86113739013672,37.2038459777832,30,30,9
1832,1677276370128,25.920166015625,37.43083190917969,335,335,9
1852,1677276384856,25.795766830444336,37.82611846923828,176,176,10
1822,1677276405053,25.83213424682617,37.88886642456055,0,0,12
1832,1677276450379,25.918333053588867,37.43399810791016,335,335,9
1791,1677276468107,23.864177703857425,37.207855224609375,31,31,10
1852,1677276546409,25.79624938964844,37.81795120239258,177,177,10
1791,1677276579595,23.86753273010254,37.212398529052734,30,30,10
1792,1677276641444,23.93358612060547,37.19098281860352,338,338,15
1832,1677276659362,25.913333892822266,37.442501068115234,334,334,9
1791,1677276748395,23.872663497924805,37.21908950805664,31,31,10
1792,1677276761444,23.929311752319336,37.198768615722656,336,336,15
1832,1677276769223,25.9106674194336,37.44683456420898,333,333,9
1852,1677276816520,25.797082901000977,37.80438232421875,177,177,10
1832,1677276878473,25.90833282470703,37.451168060302734,336,336,9
1832,1677276959350,25.90666580200196,37.454498291015625,338,338,9
1792,1677277044947,23.91921615600586,37.2170524597168,336,336,15
1832,1677277079358,25.90399932861328,37.45916748046875,335,335,9
1791,1677277159123,23.885263442993164,37.23540496826172,31,31,10
1831,1677277196060,25.81183242797852,37.44049835205078,301,301,11
1832,1677277230893,25.90066719055176,37.46533203125,336,336,9
1792,1677277242094,23.912145614624023,37.22982025146485,336,336,15
1852,1677277265314,25.798933029174805,37.78189849853516,176,176,10
1791,1677277268383,23.888710021972656,37.239742279052734,32,32,10
1831,1677277300338,25.805334091186523,37.442832946777344,294,294,11
1832,1677277409761,25.89666748046875,37.47249984741211,336,336,9
1852,1677277414915,25.79974937438965,37.77456665039063,174,174,10
1791,1677277489578,23.89594841003418,37.2485466003418,33,33,10
1831,1677277496193,25.79800033569336,37.45033264160156,322,322,10
1852,1677277545125,25.80051612854004,37.76806640625,174,174,10
1831,1677277616848,25.795000076293945,37.455833435058594,336,336,10
1832,1677277619082,25.89200019836425,37.48099899291992,336,336,9
1831,1677277676854,25.793500900268555,37.45849990844727,335,335,10
1791,1677277708588,23.90308380126953,37.25724029541016,33,33,10
1832,1677277759019,25.88883399963379,37.48683166503906,336,336,9
1792,1677277794054,23.891551971435547,37.26520156860352,335,335,15
1852,1677277804797,25.80206680297852,37.755149841308594,174,174,10
